Row	NEG_01_NEG	NEG_02_NEG	NEG_03_NEG	NEG_04_NEG	NEG_05_NEG	NEG_06_NEG	NEG_07_NEG	NEG_01_POS	NEG_02_POS	NEG_03_POS	NEG_04_POS	NEG_05_POS	NEG_06_POS	NEG_07_POS	NEG_01_HBD	NEG_02_HBD	NEG_03_HBD	NEG_04_HBD	NEG_05_HBD	NEG_06_HBD	NEG_07_HBD	NEG_01_HBA	NEG_02_HBA	NEG_03_HBA	NEG_04_HBA	NEG_05_HBA	NEG_06_HBA	NEG_07_HBA	NEG_01_ARC	NEG_02_ARC	NEG_03_ARC	NEG_04_ARC	NEG_05_ARC	NEG_06_ARC	NEG_07_ARC	NEG_01_HYP	NEG_02_HYP	NEG_03_HYP	NEG_04_HYP	NEG_05_HYP	NEG_06_HYP	NEG_07_HYP	POS_01_POS	POS_02_POS	POS_03_POS	POS_04_POS	POS_05_POS	POS_06_POS	POS_07_POS	POS_01_HBD	POS_02_HBD	POS_03_HBD	POS_04_HBD	POS_05_HBD	POS_06_HBD	POS_07_HBD	POS_01_HBA	POS_02_HBA	POS_03_HBA	POS_04_HBA	POS_05_HBA	POS_06_HBA	POS_07_HBA	POS_01_ARC	POS_02_ARC	POS_03_ARC	POS_04_ARC	POS_05_ARC	POS_06_ARC	POS_07_ARC	POS_01_HYP	POS_02_HYP	POS_03_HYP	POS_04_HYP	POS_05_HYP	POS_06_HYP	POS_07_HYP	HBD_01_HBD	HBD_02_HBD	HBD_03_HBD	HBD_04_HBD	HBD_05_HBD	HBD_06_HBD	HBD_07_HBD	HBD_01_HBA	HBD_02_HBA	HBD_03_HBA	HBD_04_HBA	HBD_05_HBA	HBD_06_HBA	HBD_07_HBA	HBD_01_ARC	HBD_02_ARC	HBD_03_ARC	HBD_04_ARC	HBD_05_ARC	HBD_06_ARC	HBD_07_ARC	HBD_01_HYP	HBD_02_HYP	HBD_03_HYP	HBD_04_HYP	HBD_05_HYP	HBD_06_HYP	HBD_07_HYP	HBA_01_HBA	HBA_02_HBA	HBA_03_HBA	HBA_04_HBA	HBA_05_HBA	HBA_06_HBA	HBA_07_HBA	HBA_01_ARC	HBA_02_ARC	HBA_03_ARC	HBA_04_ARC	HBA_05_ARC	HBA_06_ARC	HBA_07_ARC	HBA_01_HYP	HBA_02_HYP	HBA_03_HYP	HBA_04_HYP	HBA_05_HYP	HBA_06_HYP	HBA_07_HYP	ARC_01_ARC	ARC_02_ARC	ARC_03_ARC	ARC_04_ARC	ARC_05_ARC	ARC_06_ARC	ARC_07_ARC	ARC_01_HYP	ARC_02_HYP	ARC_03_HYP	ARC_04_HYP	ARC_05_HYP	ARC_06_HYP	ARC_07_HYP	HYP_01_HYP	HYP_02_HYP	HYP_03_HYP	HYP_04_HYP	HYP_05_HYP	HYP_06_HYP	HYP_07_HYP	WBN_GC_L_0.25	WBN_GC_H_0.25	WBN_GC_L_0.50	WBN_GC_H_0.50	WBN_GC_L_0.75	WBN_GC_H_0.75	WBN_GC_L_1.00	WBN_GC_H_1.00	WBN_EN_L_0.25	WBN_EN_H_0.25	WBN_EN_L_0.50	WBN_EN_H_0.50	WBN_EN_L_0.75	WBN_EN_H_0.75	WBN_EN_L_1.00	WBN_EN_H_1.00	WBN_LP_L_0.25	WBN_LP_H_0.25	WBN_LP_L_0.50	WBN_LP_H_0.50	WBN_LP_L_0.75	WBN_LP_H_0.75	WBN_LP_L_1.00	WBN_LP_H_1.00	XLogP	PSA	NumRot	NumHBA	NumHBD	MW	BBB	BadGroup
5350919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.46362	1.51715	-1.83303	1.9994	-2.44851	2.61788	-3.11783	3.30443	-0.600807	1.34427	-1.23439	2.00963	-1.89875	2.73587	-2.58642	3.48121	-0.843449	0.88757	-1.50735	1.60231	-2.20213	2.34767	-2.9084	3.1024	2.907	57.97	1	3	0	270.423	1	1
5349174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.29295	2.5341	-1.60056	3.04947	-2.25203	3.67303	-3.02821	4.35684	-0.775601	1.52048	-1.56415	2.1866	-2.3595	2.90951	-3.159	3.69025	-0.82263	1.43392	-1.48974	2.05278	-2.23823	2.8548	-3.0258	3.69207	5.167	69.39	5	7	2	365.163	1	2
5345479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.35087	1.26108	-2.61567	2.0303	-3.02572	2.86777	-3.55005	3.71964	-0.786944	1.52064	-1.58847	2.1885	-2.39596	2.92339	-3.20667	3.73063	-0.672675	1.43409	-1.40642	2.06666	-2.21222	2.89367	-3.02452	3.75291	4.272	49.05	4	6	0	348.79	1	1
5343974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.39865	1.28583	-2.52657	1.90082	-2.76325	2.69901	-3.21015	3.50914	-0.776605	1.30734	-1.56436	1.91974	-2.35659	2.65301	-3.15111	3.43842	-0.966008	0.920826	-1.57969	1.73075	-2.34706	2.54865	-3.13756	3.36854	1.352	74.08	4	5	3	224.26	0	1
5342566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.36406	1.63068	-2.62479	2.18325	-3.01723	2.90845	-3.49922	3.68458	-0.679626	1.27601	-1.38492	1.95465	-2.10328	2.74065	-2.82853	3.55193	-0.829458	1.03121	-1.49374	1.83775	-2.20226	2.65724	-2.92507	3.48143	1.2	66.63	4	4	2	217.228	0	1
5338724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.29295	2.53449	-1.60646	3.05063	-2.31057	3.67595	-3.08825	4.36236	-0.783033	1.52049	-1.57206	2.1873	-2.36554	2.91216	-3.16406	3.69422	-0.822598	1.43388	-1.49001	2.05163	-2.24185	2.85155	-3.0329	3.68876	4.806	69.39	5	7	2	300.294	1	1
5333847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.24138	1.66577	-2.49111	2.23819	-2.88694	2.96377	-3.4042	3.7411	-0.75466	1.5253	-1.51644	2.21166	-2.2814	2.95995	-3.04818	3.75029	-0.705405	1.43993	-1.40944	2.05761	-2.1578	2.8326	-2.91828	3.64993	4.08	45.81	4	5	0	245.238	1	2
5332740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.28927	2.53404	-1.58882	3.04879	-2.18499	3.66945	-2.94498	4.34549	-0.768222	1.3332	-1.54368	1.99218	-2.32302	2.74683	-3.1047	3.54168	-0.840599	1.10915	-1.52294	1.9102	-2.24069	2.72149	-2.9771	3.5387	2.344	80.56	4	4	2	247.299	0	1
5331396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1.541	1.60413	-1.88431	2.11476	-2.45198	2.87362	-3.15958	3.69772	-0.774605	1.27456	-1.56303	1.9499	-2.36427	2.75117	-3.1696	3.58532	-0.854429	1.0717	-1.61856	1.87877	-2.41626	2.71188	-3.22085	3.55526	3.357	78.51	5	6	2	481.144	0	2
5316148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	-1.33892	1.97435	-1.64851	2.37892	-2.24947	2.92681	-2.96955	3.55052	-0.724899	1.21038	-1.4503	1.80153	-2.17607	2.47548	-2.90211	3.19173	-0.933488	1.02177	-1.58613	1.7098	-2.26721	2.44656	-2.95841	3.19738	6.935	37.3	2	2	1	302.458	1	1
